GMT Time,ODBA,Temperature [C],MT Time,Classification
8/10/2021 17:45,319,24,8/10/2021 11:45,0
8/10/2021 17:45,319,24,8/10/2021 11:45,0
8/10/2021 17:45,319,24,8/10/2021 11:45,0
8/10/2021 17:45,319,24,8/10/2021 11:45,0
8/10/2021 17:45,319,24,8/10/2021 11:45,0
8/10/2021 17:45,319,24,8/10/2021 11:45,0
8/10/2021 17:45,319,24,8/10/2021 11:45,0
8/10/2021 17:45,319,24,8/10/2021 11:45,0
8/10/2021 17:46,251,24,8/10/2021 11:46,0
8/10/2021 17:46,248,24,8/10/2021 11:46,0
8/10/2021 17:46,206,23.5,8/10/2021 11:46,0
8/10/2021 17:46,207,23.5,8/10/2021 11:46,0
8/10/2021 17:46,251,24,8/10/2021 11:46,0
8/10/2021 17:46,248,24,8/10/2021 11:46,0
8/10/2021 17:46,206,23.5,8/10/2021 11:46,0
8/10/2021 17:46,207,23.5,8/10/2021 11:46,0
8/10/2021 17:46,251,24,8/10/2021 11:46,0
8/10/2021 17:46,248,24,8/10/2021 11:46,0
8/10/2021 17:46,206,23.5,8/10/2021 11:46,0
8/10/2021 17:46,207,23.5,8/10/2021 11:46,0
8/10/2021 17:46,251,24,8/10/2021 11:46,0
8/10/2021 17:46,248,24,8/10/2021 11:46,0
8/10/2021 17:46,206,23.5,8/10/2021 11:46,0
8/10/2021 17:46,207,23.5,8/10/2021 11:46,0
8/10/2021 17:46,251,24,8/10/2021 11:46,0
8/10/2021 17:46,248,24,8/10/2021 11:46,0
8/10/2021 17:46,206,23.5,8/10/2021 11:46,0
8/10/2021 17:46,207,23.5,8/10/2021 11:46,0
8/10/2021 17:46,251,24,8/10/2021 11:46,0
8/10/2021 17:46,248,24,8/10/2021 11:46,0
8/10/2021 17:46,206,23.5,8/10/2021 11:46,0
8/10/2021 17:46,207,23.5,8/10/2021 11:46,0
8/10/2021 17:46,251,24,8/10/2021 11:46,0
8/10/2021 17:46,248,24,8/10/2021 11:46,0
8/10/2021 17:46,206,23.5,8/10/2021 11:46,0
8/10/2021 17:46,207,23.5,8/10/2021 11:46,0
8/10/2021 17:46,251,24,8/10/2021 11:46,0
8/10/2021 17:46,248,24,8/10/2021 11:46,0
8/10/2021 17:46,206,23.5,8/10/2021 11:46,0
8/10/2021 17:46,207,23.5,8/10/2021 11:46,0
8/10/2021 17:46,251,24,8/10/2021 11:46,0
8/10/2021 17:46,248,24,8/10/2021 11:46,0
8/10/2021 17:46,206,23.5,8/10/2021 11:46,0
8/10/2021 17:46,207,23.5,8/10/2021 11:46,0
8/10/2021 17:47,182,23.5,8/10/2021 11:47,0
8/10/2021 17:47,199,23.5,8/10/2021 11:47,0
8/10/2021 17:47,200,23.5,8/10/2021 11:47,0
8/10/2021 17:47,172,23.5,8/10/2021 11:47,0
8/10/2021 17:47,182,23.5,8/10/2021 11:47,0
8/10/2021 17:47,199,23.5,8/10/2021 11:47,0
8/10/2021 17:47,200,23.5,8/10/2021 11:47,0
8/10/2021 17:47,172,23.5,8/10/2021 11:47,0
8/10/2021 17:47,182,23.5,8/10/2021 11:47,0
8/10/2021 17:47,199,23.5,8/10/2021 11:47,0
8/10/2021 17:47,200,23.5,8/10/2021 11:47,0
8/10/2021 17:47,172,23.5,8/10/2021 11:47,0
8/10/2021 17:47,182,23.5,8/10/2021 11:47,0
8/10/2021 17:47,199,23.5,8/10/2021 11:47,0
8/10/2021 17:47,200,23.5,8/10/2021 11:47,0
8/10/2021 17:47,172,23.5,8/10/2021 11:47,0
8/10/2021 17:47,182,23.5,8/10/2021 11:47,0
8/10/2021 17:47,199,23.5,8/10/2021 11:47,0
8/10/2021 17:47,200,23.5,8/10/2021 11:47,0
8/10/2021 17:47,172,23.5,8/10/2021 11:47,0
8/10/2021 17:47,182,23.5,8/10/2021 11:47,0
8/10/2021 17:47,199,23.5,8/10/2021 11:47,0
8/10/2021 17:47,200,23.5,8/10/2021 11:47,0
8/10/2021 17:47,172,23.5,8/10/2021 11:47,0
8/10/2021 17:47,182,23.5,8/10/2021 11:47,0
8/10/2021 17:47,199,23.5,8/10/2021 11:47,0
8/10/2021 17:47,200,23.5,8/10/2021 11:47,0
8/10/2021 17:47,172,23.5,8/10/2021 11:47,0
8/10/2021 17:47,182,23.5,8/10/2021 11:47,0
8/10/2021 17:47,199,23.5,8/10/2021 11:47,0
8/10/2021 17:47,200,23.5,8/10/2021 11:47,0
8/10/2021 17:47,172,23.5,8/10/2021 11:47,0
8/10/2021 17:47,182,23.5,8/10/2021 11:47,0
8/10/2021 17:47,199,23.5,8/10/2021 11:47,0
8/10/2021 17:47,200,23.5,8/10/2021 11:47,0
8/10/2021 17:47,172,23.5,8/10/2021 11:47,0
8/10/2021 17:48,215,23.5,8/10/2021 11:48,1
8/10/2021 17:48,220,23.5,8/10/2021 11:48,1
8/10/2021 17:48,207,23.5,8/10/2021 11:48,1
8/10/2021 17:48,216,23.5,8/10/2021 11:48,0
8/10/2021 17:48,207,23.5,8/10/2021 11:48,1
8/10/2021 17:48,216,23.5,8/10/2021 11:48,0
8/10/2021 17:48,207,23.5,8/10/2021 11:48,1
8/10/2021 17:48,216,23.5,8/10/2021 11:48,0
8/10/2021 17:48,207,23.5,8/10/2021 11:48,1
8/10/2021 17:48,216,23.5,8/10/2021 11:48,0
8/10/2021 17:48,207,23.5,8/10/2021 11:48,1
8/10/2021 17:48,216,23.5,8/10/2021 11:48,0
8/10/2021 17:48,207,23.5,8/10/2021 11:48,1
8/10/2021 17:48,216,23.5,8/10/2021 11:48,0
8/10/2021 17:48,207,23.5,8/10/2021 11:48,1
8/10/2021 17:48,216,23.5,8/10/2021 11:48,0
8/10/2021 17:48,207,23.5,8/10/2021 11:48,1
8/10/2021 17:48,216,23.5,8/10/2021 11:48,0
8/10/2021 17:48,207,23.5,8/10/2021 11:48,1
8/10/2021 17:48,216,23.5,8/10/2021 11:48,0
8/10/2021 17:49,215,23.5,8/10/2021 11:49,1
8/10/2021 17:49,226,23.5,8/10/2021 11:49,1
8/10/2021 17:49,184,23.5,8/10/2021 11:49,1
8/10/2021 17:49,198,23.5,8/10/2021 11:49,1
